target	hg38	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Gallbladder	chr1:185606-185761	U	0	0	0	0	0	0	0.003	0	0	0.009	0.009	0.009	0	0.003	0	0.032	0	0.947	0	0	0.006	0	0	0	0.005	0	0	0	0	0.006	0	0	0	0	0	0	0	0.049	0.012	0
Skeletal-Musc	chr1:981709-981807	U	0.04	0.064	0	0.009	0.007	0.01	0.014	0.067	0	0	0.117	0.01	0.025	0.014	0	0.155	0	0.026	0.009	0.03	0.066	0.007	0.287	0.027	0.011	0	0.006	0.008	0.024	0.08	0.063	0	0.049	0	0	0	0.565	0.054	0.031	0.017
Epid-Kerat	chr1:1003660-1003750	U	0	0	0	0	0.003	0	0	0	0.01	0	0	0	0	0	0.769	0.122	0	0	0	0.071	0	0	0	0.004	0	0	0	0	0	0	0.009	0	0.02	0	0	0	0	0.006	0	0
Colon-Ep	chr1:1110257-1110409	U	0	0.102	0	0.011	0	0.012	0.004	0	0	0	0.963	0	0	0.006	0	0.168	0	0	0.225	0	0	0.014	0.115	0	0	0	0.019	0	0.043	0.019	0.047	0.051	0.025	0	0	0.022	0	0.156	0.05	0.013
Colon-Ep	chr1:1160442-1160800	U	0	0	0	0	0.015	0	0	0	0	0	0.764	0	0	0	0	0.052	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0.03	0
Eryth-prog	chr1:1262136-1262432	U	0	0	0	0	0.001	0	0.002	0	0.027	0	0.004	0.013	0	0.001	0.013	0.946	0	0	0	0.002	0	0	0.002	0.004	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0
Small-Int-Ep	chr1:1278933-1279008	U	0	0	0	0	0	0	0	0	0	0	0.062	0.025	0	0.002	0	0.055	0	0	0	0.005	0	0	0.018	0.005	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0.648	0	0
Liver-Hep	chr1:1456904-1457007	U	0.012	0	0	0.031	0	0	0.005	0	0	0	0.013	0	0	0.01	0	0.154	0	0	0	0.013	0.011	0	0.014	0.911	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0.043	0	0.014
Thyroid-Ep	chr1:1556170-1556571	U	0.004	0.026	0	0	0	0	0.001	0	0	0	0	0.007	0	0	0	0.014	0.005	0	0	0.002	0.004	0.004	0.002	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0.021	0.873
Thyroid-Ep	chr1:1556675-1556995	U	0	0.022	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0.056	0.976
Pancreas-Acinar	chr1:1664496-1665051	U	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0.002	0	0.035	0	0	0.017	0.01	0.006	0	0	0	0.008	0	0	0	0	0.89	0	0	0	0.024	0	0	0	0.005	0	0
Liver-Hep	chr1:1768890-1769376	U	0	0	0	0	0.007	0	0.001	0	0	0	0	0	0	0.002	0	0.046	0	0.017	0	0.002	0	0	0	0.811	0	0.003	0	0	0	0.003	0	0	0	0	0	0	0	0	0.003	0
Thyroid-Ep	chr1:1785845-1786384	U	0	0.02	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.007	0	0	0	0	0.006	0	0	0.013	0	0	0	0	0	0.005	0	0.004	0	0.977
Blood-B	chr1:1902492-1902581	U	0	0	0.876	0	0.013	0.011	0.008	0	0	0.012	0	0.247	0	0.023	0.026	0.06	0.055	0	0.011	0.003	0.015	0.023	0.01	0.017	0	0	0.012	0.008	0	0.015	0	0.027	0.038	0	0	0.006	0.019	0.013	0.023	0.012
Neuron	chr1:2020270-2020459	U	0.113	0.048	0.02	0.012	0.007	0.026	0.017	0.083	0.053	0.123	0.089	0.182	0.136	0.039	0.111	0.312	0.027	0	0.036	0.074	0.058	0.114	0.046	0.016	0.019	0.056	0.74	0.25	0.056	0.076	0.026	0	0	0.029	0	0.095	0.082	0.099	0.113	0.051
