target	hg19	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Skeletal-Musc	chr1:910433-910476	U	0.105	0.013	0.016	0	0.01	0.016	0	0	0.018	0	0.018	0.038	0	0.034	0	0.203	0	0	0	0.009	0.054	0	0.008	0.09	0	0.051	0.019	0.041	0	0.011	0.021	0	0	0	0	0	0.513	0.024	0.029	0
Thyroid-Ep	chr1:1491550-1491951	U	0.004	0.023	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.013	0.006	0	0	0.001	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0.887
Pancreas-Acinar	chr1:1595935-1596277	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.982	0	0	0	0	0	0	0	0.021	0	0
Neuron	chr1:2315599-2316184	U	0.004	0	0.014	0	0	0	0.002	0	0	0	0	0.013	0	0.01	0	0.066	0.005	0	0	0.001	0	0	0	0.007	0.003	0	0.726	0.043	0	0.02	0	0	0	0	0	0	0.008	0	0.004	0
Epid-Kerat	chr1:6010708-6010978	U	0.043	0	0.062	0	0	0.048	0.005	0.056	0	0	0	0.05	0	0	1	0.108	0	0	0	0.027	0	0.036	0	0	0	0	0	0	0	0.029	0	0.045	0	0	0	0	0	0	0	0
Lung-Ep-Bron	chr1:8051177-8051743	U	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0.035	0	0	0.002	0	0	0.903	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0.114
Liver-Hep	chr1:9614272-9614521	U	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0.001	0	0.074	0	0	0	0.002	0	0	0.003	0.969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0
Pancreas-Beta	chr1:11017503-11017566	U	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0.102	0	0	0	0	0	0.007	0	0	0	0	0.123	0.008	0	0	0.012	0.989	0.157	0	0	0	0	0	0.015	0
Heart-Cardio	chr1:11906187-11907270	U	0	0	0	0	0.001	0	0	0	0	0	0.002	0	0.019	0.001	0.011	0.028	0	0	0.001	0.003	0.947	0	0	0	0	0	0.016	0	0	0.008	0	0	0.006	0	0.056	0	0	0	0.009	0
Breast-Luminal-Ep	chr1:15281037-15281105	U	0	0.008	0.009	0	0.003	0.044	0.052	0	0.111	0.966	0	0.094	0.16	0.012	0	0.135	0	0	0	0.124	0.009	0.009	0	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0.023	0
Dermal-Fibro	chr1:16218740-16219322	U	0.022	0	0.027	0	0.004	0	0	0.156	0	0	0	0.02	0.727	0.006	0	0.012	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heart-Fibro	chr1:20355843-20355900	U	0.017	0	0	0	0.004	0	0	0	0	0	0	0	0	0.018	0	0.136	0	0	0	0	0.068	0.971	0	0	0	0	0	0	0	0.011	0	0	0.024	0	0	0.01	0	0	0.136	0
Eryth-prog	chr1:22013638-22014602	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Smooth-Musc	chr1:22517933-22518650	U	0.333	0	0	0	0.045	0	0.119	0	0	0	0	NA	0.667	0.162	0	0	0	0	0	0	0.167	0.375	0	0.25	0	0	0.071	0	0	0.083	0	0	0	0	NA	0	0	0	0.5	0
Lung-Ep-Alveo	chr1:28855995-28856510	U	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
Blood-T	chr1:32718447-32718738	U	0.036	0	0.088	0	0.039	0.226	0.994	0	0	0	0.034	0.108	0	0.009	0	0.254	0	0	0.005	0.004	0	0.035	0	0.009	0.014	0	0	0	0.015	0.036	0	0.02	0	0.015	0	0.011	0	0.012	0.036	0.02
Blood-T	chr1:32719917-32720788	U	0.013	0.005	0.077	0	0.042	0.167	0.879	0.016	0.006	0	0.003	0.061	0	0.001	0.022	0.111	0	0	0	0.008	0.005	0	0	0.008	0	0	0	0	0	0	0	0	0	0.006	0	0	0.016	0.004	0.004	0.006
Breast-Luminal-Ep	chr1:33263752-33264393	U	0	0.009	0	0	0	0.021	0.015	0	0.054	0.627	0	0	0	0	0.032	0.041	0	0	0	0.037	0	0.011	0	0	0.004	0	0.002	0	0	0	0	0	0	0	0	0.015	0	0	0.004	0
Bladder-Ep	chr1:34004606-34004729	U	0.008	0.943	0	0	0.004	0	0.006	0	0	0	0.044	0.011	0	0.001	0	0.161	0	0	0.018	0	0	0.014	0	0	0.006	0	0.002	0	0.007	0.007	0.009	0.01	0	0	0	0.21	0.011	0.07	0.006	0
Pancreas-Duct	chr1:39901386-39902140	U	0	0	0	0	0.008	0	0	0	0.014	0	0.006	0	0	0.002	0.056	0.045	0	0.091	0	0.015	0.08	0	0.04	0	0.01	0.024	0	0	0	0.032	0.024	0.163	0.091	0.567	0	0.026	0	0	0	0
Lung-Ep-Bron	chr1:44305551-44306420	U	0	0.06	0	0	0.005	0.07	0.062	0	0	0	0	0.025	0	0	0	0.04	0	0	0.008	0.008	0	0.012	0	0	0.045	0.604	0.002	0	0	0	0	0.009	0.007	0	0	0.043	0	0	0	0
Pancreas-Duct	chr1:46949367-46949430	U	0.053	0	0	0	0	0	0.002	0.057	0	0.012	0	0	0.08	0.055	0	0.093	0.02	0	0.003	0	0	0.071	0.011	0	0	0	0	0	0	0.11	0.121	0.082	0.014	0.979	0	0	0.031	0	0.045	0
Colon-Ep	chr1:47905855-47906213	U	0.015	0.009	0	0	0.013	0	0.009	0	0	0.012	1	0.039	0.161	0.106	0.033	0.183	0.167	0.086	0.003	0.002	0.188	0.021	0.04	0.082	0	0	0.064	0.047	0	0.008	0.044	0.012	0.052	0	0	0.007	0.014	0.007	0.076	0
Gastric-Ep	chr1:54805307-54805623	U	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0.933	0	0	0	0	0	0.016	0	0.003	0	0	0	0	0	0	0.018	0	0	0.011	0	0.015	0
Head-Neck-Ep	chr1:55096065-55096322	U	0.007	0.105	0.084	0	0.022	0.027	0.039	0.02	0.047	0.129	0.015	0.17	0	0.016	0.125	0.21	0	0	0	0.945	0.005	0.03	0	0	0.017	0.309	0	0.006	0.106	0.005	0.007	0	0	0	0	0.082	0.009	0.053	0.031	0
Skeletal-Musc	chr1:55667004-55667231	U	0	0	0	0	0.003	0	0.017	0	0	0.014	0	0	0	0	0	0.01	0.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.641	0	0	0
Blood-Mono+Macro	chr1:60046062-60046410	U	0	0	0.167	0	0.95	0	0	0	0	0	0	0.4	0	0.034	NA	0.667	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0
Kidney-Ep	chr1:70661377-70661571	U	0	0	0	0	0.002	0	0.001	0	0	0	0	0	0	0.002	0	0.027	0	0	0	0	0	0.012	0.798	0	0	0	0	0	0	0	0	0.009	0	0	0	0.004	0	0	0.005	0
Lung-Ep-Bron	chr1:78986213-78986896	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Epid-Kerat	chr1:85028761-85029068	U	0	0.009	0	0	0	0	0	0	0	0	0.006	0	0	0.002	0.745	0.071	0	0	0	0	0	0.021	0.004	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0
Heart-Cardio	chr1:86157317-86157430	U	0	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.047	0	0	0.007	0	0.926	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0
Ovary-Ep	chr1:91319920-91320504	U	0	0	0	0	0	0	0.019	0	0.333	0	0	0	0	0	0	0.167	0.222	0	0	0	0	0	0.158	0	0	0	0.056	0	1	0	0	0	0	0	0	0	0	0	0	0
Blood-B	chr1:101712282-101712512	U	0.036	0.014	0.99	0	0.025	0	0	0	0	0	0.005	0.223	0	0.037	0.016	0.044	0	0	0.003	0.003	0	0.005	0.02	0.003	0	0	0	0	0.006	0.078	0.041	0.007	0	0	0	0	0	0	0.007	0.034
Adipocytes	chr1:110426398-110427130	U	0.736	0	0	0	0.003	0	0.002	0.25	0.019	0.039	0	0.188	0.342	0.268	0	0.252	0	0	0.006	0.011	0	0.081	0	0	0.006	0	0.037	0.222	0.01	0.019	0.01	0	0	0.188	0	0.016	0.123	0	0.006	0
Fallopian-Ep	chr1:111961053-111962326	U	0.103	0.031	0	0	0.011	0	0.007	0	0	0	0	0.073	0.111	0.006	0	0.225	0.964	0	0.006	0	0.038	0.14	0.015	0	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0.089	0.02
Fallopian-Ep	chr1:111985459-111985651	U	0.02	0	0	0.04	0.004	0.04	0.008	0	0	0	0	0	0	0	0	0.143	0.818	0	0	0.004	0	0.012	0	0	0	0.014	0	0	0.033	0	0	0	0	0	0	0	0	0	0	0
Gastric-Ep	chr1:117614584-117615150	U	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0.962	0	0	0.012	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone-Osteob	chr1:118130149-118130487	U	0	0	0	0	0.003	0	0.004	0.915	0	0.019	0	0.037	0.11	0.002	0	0.087	0	0	0	0.009	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0	0.005	0	0	0.05	0	0.027	0
Bladder-Ep	chr1:145126176-145126555	U	0	0.895	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.5	0	0	0	0
Heart-Cardio	chr1:150995966-150996023	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0.004	0.965	0	0.028	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0.023	0	0	0
Neuron	chr1:151684072-151684272	U	0.019	0	0.08	0	0.009	0	0.013	0.036	0.009	0	0	0.102	0.08	0.027	0	0.119	0.009	0	0.005	0.044	0.027	0.042	0	0.004	0	0	0.857	0.013	0.007	0.019	0.059	0.135	0.056	0	0	0	0.024	0	0.057	0.093
Bladder-Ep	chr1:154254086-154254277	U	0	0.776	0	0	0.002	0	0	0	0	0	0.004	0	0	0	0	0.061	0	0	0	0	0	0.007	0	0	0	0.008	0	0	0	0	0	0.011	0.014	0	0	0.095	0.014	0	0	0
Pancreas-Delta	chr1:156101313-156101821	U	0.027	0	0	0	0	0	0	0.053	0	0	0	0.071	0.062	0.013	0	0.082	0	0	0	0.023	0.023	0	0.024	0	0	0	0	0	0	0.014	0	0.278	1	0	0	0	0	0	0	0
Neuron	chr1:156388230-156388344	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133	0	0	0	0	0	0	0	0	0	0	0.812	0.118	0	0	0	0	0	0	0	0	0	0	0	0
Eryth-prog	chr1:156727306-156727888	U	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0.01	0
Eryth-prog	chr1:159927345-159927501	U	0.022	0	0	0	0.003	0	0.004	0	0	0	0	0	0	0	0	1	0	0	0	0.011	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.111	0	0	0	0	0
Smooth-Musc	chr1:162472870-162473128	U	0	0.028	0	0	0	0	0	0.56	0	0	0	0	0.6	0.012	0.042	0.028	0	0	0	0.026	0	0.417	0	0	0	0.025	0.03	0	0	0	0	0	0	0	0	0.051	0	0	0.927	0
Blood-NK	chr1:167421177-167421813	U	0.006	0.005	0	0	0.003	0.639	0.048	0	0	0	0	0.007	0	0.001	0	0.121	0	0.023	0.003	0.004	0.004	0	0	0.005	0	0	0.002	0	0	0.005	0.006	0.016	0.007	0	0	0	0	0	0.004	0
Blood-NK	chr1:167470352-167470592	U	0.034	0	0	0	0.003	0.618	0.057	0	0	0	0	0.027	0	0.036	0	0.073	0	0	0	0.006	0.01	0.023	0	0.003	0	0.01	0.004	0	0.009	0	0	0	0	0	0	0	0	0	0.016	0
Colon-Ep	chr1:167870100-167870517	U	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0
Gallbladder	chr1:167885483-167885594	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.019	0	0	0	0	0.017	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0
Ovary-Ep	chr1:168194169-168194525	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0.071	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0
Pancreas-Delta	chr1:168260481-168260699	U	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0.002	0	0.042	0	0	0.005	0	0	0	0	0	0	0	0	0	0.006	0	0.024	0.338	0.927	0	0	0	0	0.004	0	0
Fallopian-Ep	chr1:169165330-169166059	U	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	NA	0	0	0	0	0.2
Megakaryocytes	chr1:172082548-172082701	U	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.035	0	0.184	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.75	0	0	0	0	0
Fallopian-Ep	chr1:172579244-172579387	U	0.031	0	0	0	0	0	0	0	0.009	0	0.009	0.105	0	0.022	0	0	0.975	0	0	0.003	0.009	0.177	0.004	0	0	0	0.003	0.094	0.047	0.328	0.019	0.07	0.048	0.232	0.25	0	0.016	0.005	0.006	0
Blood-Granul	chr1:173854822-173855687	U	0	0	0	0.87	0.02	0	0	0	0	0.005	0.004	0	0	0.001	0.016	0.059	0	0	0	0	0.004	0.008	0	0	0	0	0	0	0.005	0.003	0	0	0	0	0	0	0.098	0	0	0.005
Pancreas-Duct	chr1:179265091-179265384	U	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0.105	0	0	0	0	0	0.005	0	0	0.004	0.029	0.011	0	0	0.018	0	0.726	0	0	0	0	0	0
Pancreas-Delta	chr1:184078999-184079425	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.833	0	0	0	0	0	0.158	0
Bladder-Ep	chr1:184970698-184970984	U	0	0.881	0	0	0.001	0	0.002	0	0	0	0.015	0	0	0	0.027	0.058	0	0	0.001	0.064	0.004	0.004	0	0	0	0.098	0.007	0	0	0.009	0	0	0	0	0	0.234	0	0.003	0.003	0
Heart-Fibro	chr1:198237636-198237874	U	0	0	0	0	0	0	0	0	0	0	0.013	0	0	0.042	0	0.021	0	0	0	0	0.047	0.85	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0
Small-Int-Ep	chr1:200073859-200074011	U	0	0	0	0	0	0	0.005	0	0	0	0.018	0	0	0.008	0	0.099	0.018	0.222	0	0.004	0.013	0.041	0	0.007	0	0.015	0	0	0	0	0	0	0	0.015	0	0.012	0	0.968	0.031	0
Skeletal-Musc	chr1:201069470-201070117	U	0	0.013	0.069	0	0.015	0	0	0	0	0	0	0.059	0	0	0	0.147	0	0	0	0	0	0.052	0	0	0	0.077	0	0.014	0	0	0	0	0	0	0	0	0.783	0	0.065	0
Ovary-Ep	chr1:206277697-206278426	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0.036	0	0	0.122	0	0	0.094	0	0	0	0.002	0	0.899	0	0	0	0	0	0	0	0	0	0	0
Dermal-Fibro	chr1:222080603-222080835	U	0.209	0	0	0	0	0	0	0	0	0	0.008	0	0.875	0.045	0	0.25	0.038	0	0.011	0.013	0	0.044	0.038	0	0	0.013	0.01	0.03	0.116	0.04	0.093	0	0	0	0	0	0.079	0	0.137	0
Thyroid-Ep	chr1:226442408-226442836	U	0	0.02	0	0	0.002	0	0.001	0	0	0.011	0.004	0.012	0	0	0	0.007	0	0	0	0	0	0	0	0	0.011	0	0.003	0.007	0	0	0	0	0	0	0	0	0	0	0	0.919
Neuron	chr1:229476664-229476936	U	0	0	0.01	0.006	0.002	0	0.01	0	0	0.008	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.831	0.031	0	0	0.019	0.009	0.009	0	0	0	0	0	0	0
Skeletal-Musc	chr1:229572271-229572478	U	0.008	0.113	0.023	0	0.012	0.01	0	0.071	0.01	0.014	0.053	0.041	0.056	0.034	0.121	0.096	0.032	0	0.023	0.042	0.028	0.008	0.058	0.036	0.056	0.033	0.011	0.008	0.009	0.081	0.034	0.022	0	0.024	0.143	0.046	0.585	0.021	0.03	0.02
Oligodend	chr1:229618170-229618509	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0	0	0	0.003	0	0	0.005	0	0	0	0.036	0.929	0	0	0	0	0	0	0	0	0.034	0	0.023	0
Head-Neck-Ep	chr1:232372658-232372669	U	0	0.008	0	0	0.002	0	0	0	0.033	0.196	0	0	0	0.018	0.222	0.131	0	0	0.003	0.941	0	0.026	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.006	0	0	0.029	0
Breast-Basal-Ep	chr1:234529405-234529509	U	0	0	0	0	0	0	0	0	0.893	0.03	0	0	0	0	0	0.047	0	0	0	0.006	0	0.007	0	0	0	0	0.017	0.037	0	0.018	0	0	0	0	0	0.035	0	0	0	0
Epid-Kerat	chr1:236044087-236044287	U	0	0.048	0	0.034	0.005	0	0.006	0	0	0	0	0	0	0	0.848	0.056	0.01	0	0.022	0.054	0.016	0	0	0	0.006	0.007	0.071	0	0	0.023	0.021	0	0.012	0.009	0	0.014	0	0.025	0	0
Lung-Ep-Alveo	chr1:244823723-244823818	U	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.004	0	0.01	0	0	0	0	0	0	0	0	0.881	0	0.031	0.007	0	0	0	0	0	0	0	0	0	0	0	0
Head-Neck-Ep	chr1:249138696-249138855	U	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0.016	0	0	0	0.808	0	0	0	0	0	0.017	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0
Thyroid-Ep	chr2:3456139-3456395	U	0	0.027	0	0	0	0	0	0.116	0	0	0	0	0	0	0	0.034	0	0	0.003	0.004	0	0.008	0.056	0	0	0	0.006	0.015	0	0	0	0	0	0	0	0	0.016	0	0.011	0.971
Epid-Kerat	chr2:15686808-15687804	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smooth-Musc	chr2:16023241-16024247	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gastric-Ep	chr2:17862228-17862982	U	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0.031	0	0	0.961	0	0	0	0	0	0.031	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0
Heart-Fibro	chr2:24475040-24476123	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.024	0	0.789	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0	0	0	0
Small-Int-Ep	chr2:26505537-26506631	U	0	0.004	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.603	0	0
Breast-Luminal-Ep	chr2:27433191-27433456	U	0.009	0.015	0	0	0.003	0	0	0	0.103	0.872	0.004	0	0	0.002	0	0.018	0	0	0	0.019	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0.008	0	0	0	0
Gastric-Ep	chr2:37118525-37119160	U	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0.097	0	0	0.989	0	0	0	0	0	0	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0.021	0
Pancreas-Delta	chr2:39474855-39475301	U	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	1	0	0	0.059	0	0.25	0	0	0	0	0.143	0	0	0	0	0.5	0	1	0	NA	0	0	0	0	0
Bone-Osteob	chr2:39646607-39647085	U	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neuron	chr2:51254072-51254314	U	0	0	0.014	0	0	0.01	0	0	0	0	0	0.157	0	0.007	0	0.114	0	0	0.007	0	0	0.057	0	0	0	0	0.835	0.258	0	0	0	0	0	0	0	0	0	0.005	0.06	0
Breast-Luminal-Ep	chr2:61471508-61471744	U	0	0	0	0	0	0	0.002	0	0.065	0.667	0	0.014	0	0	0	0.008	0	0	0	0	0	0.018	0	0	0.035	0.015	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0
Lung-Ep-Bron	chr2:62030600-62030689	U	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.081	0	0	0.003	0.026	0	0	0	0	0.129	0.864	0	0	0	0.007	0	0.013	0	0	0.143	0.154	0	0	0.045	0
Blood-Mono+Macro	chr2:64981299-64981413	U	0.076	0.011	0.011	0.111	0.812	0	0	0.027	0	0	0	0.047	0	0.004	0.045	0.091	0	0	0	0	0.011	0.02	0	0.019	0	0	0.012	0.024	0	0.025	0	0	0	0	0	0	0.08	0.008	0	0
Head-Neck-Ep	chr2:65251128-65251227	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.043	0.01	0	0	0.003	0.843	0	0	0	0	0	0.031	0.014	0	0	0	0	0	0	0	0	0.06	0	0	0	0
Megakaryocytes	chr2:70160128-70160310	U	0	0	0.012	0	0	0	0	0	0	0	0.005	0	0	0	0	0.042	0	0	0	0	0	0	0	0	0.008	0	0.014	0	0	0.009	0	0	0	0	0.75	0	0.049	0	0	0
Lung-Ep-Alveo	chr2:73723864-73724126	U	0	0	0	0	0.009	0	0	0	0	0	0	0.043	0	0	0	0.312	0	0	0	0	0	0	0	0	1	0.094	0	0	0	0	0	0.045	0	0	0	0	0	0	0.024	0
Colon-Ep	chr2:74323528-74323723	U	0	0	0	0	0.012	0	0	0	0	0	0.989	0.029	0	0	0	0	0	0	0.011	0	0	0	0	0	0.032	0.01	0	0	0	0	0	0	0	0	0	0.018	0	0.076	0	0
Neuron	chr2:85658366-85658996	U	0	0	0.25	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.111	0	0	0.267	0	0	0.067	0	0.1	0	1	0.75	0.143	0	0	0	0	0	0	0.167	0	0	0	0.222
Lung-Ep-Alveo	chr2:85883844-85885025	U	0	0.024	0	0	0.022	0	0	0	0	0	0	0	0	0	0.056	0.115	0.029	0.125	0	0.057	0	0	0	0	0.955	0.195	0	0	0.113	0	0	0	0	0	0	0	0	0	0	0
