target	hg38	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Eryth-prog	chr1:1262136-1262432	U	0	0	0	0	0.001	0	0.002	0	0.027	0	0.004	0.013	0	0.001	0.013	0.946	0	0	0	0.002	0	0	0.002	0.004	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0
Neuron	chr1:2384160-2384745	U	0	0	0.014	0	0.001	0	0.001	0	0	0	0	0.011	0	0.009	0	0.062	0.005	0	0	0.001	0.006	0.004	0	0.008	0	0	0.705	0.035	0	0.016	0	0	0	0	0	0	0.007	0	0.003	0
Epid-Kerat	chr1:5950648-5950918	U	0.036	0	0.038	0	0	0.057	0.004	0.048	0	0	0	0.083	0	0	0.941	0.111	0	0	0	0.04	0	0.048	0	0	0.014	0	0	0	0	0.022	0	0.032	0	0	0	0	0	0	0	0
Pancreas-Delta	chr1:5959258-5959335	U	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.001	0	0.048	0	0	0.005	0	0	0	0.003	0.255	0	0	0.005	0	0	0	0	0.011	0.874	0.008	0	0	0	0	0	0
Lung-Ep-Bron	chr1:7991117-7991683	U	0	0	0	0	0.002	0	0.001	0	0	0.005	0	0	0	0.002	0	0.09	0.005	0	0	0.032	0	0	0.002	0	0.006	0.905	0.064	0	0.004	0	0	0	0	0	0	0	0	0	0	0.121
Liver-Hep	chr1:9554214-9554463	U	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.002	0	0.068	0	0	0	0.002	0	0	0	0.968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0
Pancreas-Beta	chr1:10947269-10947539	U	0.009	0	0.011	0.011	0.003	0	0.004	0	0	0	0.011	0.014	0	0.002	0	0.229	0	0	0	0.008	0	0	0	0	0	0	0.004	0	0	0.023	0.01	0.962	0.11	0	0	0	0.296	0	0.052	0
Heart-Cardio	chr1:11846130-11846567	U	0.005	0.009	0.008	0.005	0.004	0	0.004	0.025	0.005	0.006	0.015	0.007	0	0.006	0	0.027	0.007	0	0.004	0.007	0.913	0.01	0	0.002	0.01	0.005	0.019	0	0.005	0.004	0	0.006	0.007	0	0	0	0.009	0.01	0.007	0.006
Breast-Luminal-Ep	chr1:14954541-14954609	U	0	0.007	0.007	0	0.003	0.056	0.048	0	0.107	0.969	0	0.095	0.143	0.015	0	0.126	0	0	0	0.122	0.008	0.008	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0.013	0
Oligodend	chr1:20916695-20916823	U	0.009	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0.038	0	0	0	0	0	0.016	0	0	0	0	0.075	0.924	0	0	0	0	0	0	0	0	0	0	0.006	0
Breast-Luminal-Ep	chr1:21246927-21247101	U	0	0.064	0	0	0	0	0	0	0.221	0.966	0.054	0	0	0.002	0.5	0.026	0	0	0	0.124	0	0.012	0.276	0	0.006	0.009	0	0	0	0.013	0	0	0	0	0	0.106	0	0	0	0
